type,item_id,config,config_ts,value,name
tsmnode,6771,CfgTsmNodeProxy_agent,2021-02-12 22:40:56,"",090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeProxy_target,2021-02-12 22:40:56,"",090817.CA_CPNTA
tsmnode,6771,CfgTsmNodePtype,2021-02-12 22:40:56,1,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodePvendor,2021-02-12 22:40:56,Intel,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodePwset_time,2021-02-12 22:40:56,1473692089,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRecover_damaged,2021-02-12 22:40:56,YES,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeReg_admin,2021-02-12 22:40:56,TSMADMIN,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRegistrationTime,2021-02-12 22:40:56,1470334621,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRepl_arrule,2021-02-12 22:40:56,DEFAULT,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRepl_bkrule,2021-02-12 22:40:56,DEFAULT,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRepl_mode,2021-02-12 22:40:56,NONE,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRepl_sprule,2021-02-12 22:40:56,DEFAULT,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRepl_state,2021-02-12 22:40:56,NONE,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeReplication_primary_server,2021-02-12 22:40:56,"",090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRole,2021-02-12 22:40:56,SERVER,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeRole_o,2021-02-12 22:40:56,USEREPORTED,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeScanerror,2021-02-12 22:40:56,NO,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeSession_initiation,2021-02-12 22:40:56,ClientOrServer,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeSession_security,2021-02-12 22:40:56,Transitional,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeSplit_large_objects,2021-02-12 22:40:56,Yes,090817.CA_CPNTA
tsmnode,6771,CfgTsmNodeSsl_required,2021-02-12 22:40:56,Default,090817.CA_CPNTA
